Date,Day,DayName,MonthName,MonthNo,Year
2003-02-15 00:00:00,6,Saturday,February,2,2003
2003-02-22 00:00:00,6,Saturday,February,2,2003
2004-02-07 00:00:00,6,Saturday,February,2,2004
2004-02-14 00:00:00,6,Saturday,February,2,2004
2004-02-21 00:00:00,6,Saturday,February,2,2004
2004-02-28 00:00:00,6,Saturday,February,2,2004
2005-02-05 00:00:00,6,Saturday,February,2,2005
2005-02-12 00:00:00,6,Saturday,February,2,2005
2005-02-19 00:00:00,6,Saturday,February,2,2005
2005-02-26 00:00:00,6,Saturday,February,2,2005
2003-01-04 00:00:00,6,Saturday,January,1,2003
2003-01-11 00:00:00,6,Saturday,January,1,2003
2003-01-18 00:00:00,6,Saturday,January,1,2003
2003-01-25 00:00:00,6,Saturday,January,1,2003
2004-01-03 00:00:00,6,Saturday,January,1,2004
2004-01-10 00:00:00,6,Saturday,January,1,2004
2004-01-17 00:00:00,6,Saturday,January,1,2004
2004-01-24 00:00:00,6,Saturday,January,1,2004
2004-01-31 00:00:00,6,Saturday,January,1,2004
2005-01-01 00:00:00,6,Saturday,January,1,2005
2005-01-08 00:00:00,6,Saturday,January,1,2005
2005-01-15 00:00:00,6,Saturday,January,1,2005
2005-01-22 00:00:00,6,Saturday,January,1,2005
2005-01-29 00:00:00,6,Saturday,January,1,2005
2003-07-05 00:00:00,6,Saturday,July,7,2003
2003-07-12 00:00:00,6,Saturday,July,7,2003
2003-07-19 00:00:00,6,Saturday,July,7,2003
2003-07-26 00:00:00,6,Saturday,July,7,2003
2004-07-03 00:00:00,6,Saturday,July,7,2004
2004-07-10 00:00:00,6,Saturday,July,7,2004
2004-07-17 00:00:00,6,Saturday,July,7,2004
2004-07-24 00:00:00,6,Saturday,July,7,2004
2004-07-31 00:00:00,6,Saturday,July,7,2004
2005-07-02 00:00:00,6,Saturday,July,7,2005
2005-07-09 00:00:00,6,Saturday,July,7,2005
2005-07-16 00:00:00,6,Saturday,July,7,2005
2005-07-23 00:00:00,6,Saturday,July,7,2005
2005-07-30 00:00:00,6,Saturday,July,7,2005
2003-06-07 00:00:00,6,Saturday,June,6,2003
2003-06-14 00:00:00,6,Saturday,June,6,2003
2003-06-21 00:00:00,6,Saturday,June,6,2003
2003-06-28 00:00:00,6,Saturday,June,6,2003
2004-06-05 00:00:00,6,Saturday,June,6,2004
2004-06-12 00:00:00,6,Saturday,June,6,2004
2004-06-19 00:00:00,6,Saturday,June,6,2004
2004-06-26 00:00:00,6,Saturday,June,6,2004
2005-06-04 00:00:00,6,Saturday,June,6,2005
2005-06-11 00:00:00,6,Saturday,June,6,2005
2005-06-18 00:00:00,6,Saturday,June,6,2005
2005-06-25 00:00:00,6,Saturday,June,6,2005
2003-03-01 00:00:00,6,Saturday,March,3,2003
2003-03-08 00:00:00,6,Saturday,March,3,2003
2003-03-15 00:00:00,6,Saturday,March,3,2003
2003-03-22 00:00:00,6,Saturday,March,3,2003
2003-03-29 00:00:00,6,Saturday,March,3,2003
2004-03-06 00:00:00,6,Saturday,March,3,2004
2004-03-13 00:00:00,6,Saturday,March,3,2004
2004-03-20 00:00:00,6,Saturday,March,3,2004
2004-03-27 00:00:00,6,Saturday,March,3,2004
2005-03-05 00:00:00,6,Saturday,March,3,2005
2005-03-12 00:00:00,6,Saturday,March,3,2005
2005-03-19 00:00:00,6,Saturday,March,3,2005
2005-03-26 00:00:00,6,Saturday,March,3,2005
2003-05-03 00:00:00,6,Saturday,May,5,2003
2003-05-10 00:00:00,6,Saturday,May,5,2003
2003-05-17 00:00:00,6,Saturday,May,5,2003
2003-05-24 00:00:00,6,Saturday,May,5,2003
2003-05-31 00:00:00,6,Saturday,May,5,2003
2004-05-01 00:00:00,6,Saturday,May,5,2004
2004-05-08 00:00:00,6,Saturday,May,5,2004
2004-05-15 00:00:00,6,Saturday,May,5,2004
